"HGNC ID"	"Approved Symbol"	"Approved Name"	"Status"	"Previous Symbols"	"Synonyms"	"Chromosome"	"Accession Numbers"	"RefSeq IDs"
"HGNC:12"	"AABT~withdrawn"	"entry withdrawn"	"Entry Withdrawn"					
"HGNC:13"	"AAC1~withdrawn"	"symbol withdrawn, see NAT1"	"Symbol Withdrawn"					
"HGNC:14"	"AAC2~withdrawn"	"symbol withdrawn, see NAT2"	"Symbol Withdrawn"					
"HGNC:15"	"AACP"	"arylamide acetylase pseudogene"	"Approved"		"NATP"	"8p22"	"X17060"	
"HGNC:21298"	"AACS"	"acetoacetyl-CoA synthetase"	"Approved"		"FLJ12389, SUR-5, ACSF1"	"12q24.31"	"AK022451"	"NM_023928"
"HGNC:18226"	"AACSP1"	"acetoacetyl-CoA synthetase pseudogene 1"	"Approved"	"AACSL"		"5q35"		"NR_024035"
"HGNC:13792"	"AACT~withdrawn"	"symbol withdrawn, see SERPINA3"	"Symbol Withdrawn"					
"HGNC:17"	"AADAC"	"arylacetamide deacetylase (esterase)"	"Approved"		"DAC, CES5A1"	"3q21.3-q25.2"	"L32179"	"NM_001086"
"HGNC:24427"	"AADACL2"	"arylacetamide deacetylase-like 2"	"Approved"		"MGC72001"	"3q25.1"	"BC065724"	"NM_207365"
"HGNC:32037"	"AADACL3"	"arylacetamide deacetylase-like 3"	"Approved"		"OTTHUMG00000001887"	"1p36.21"		"XM_928294"
"HGNC:32038"	"AADACL4"	"arylacetamide deacetylase-like 4"	"Approved"		"OTTHUMG00000001889"	"1p36.21"		"NM_001013630"
"HGNC:17929"	"AADAT"	"aminoadipate aminotransferase"	"Approved"		"KATII, KAT2"	"4q33"	"AF097994"	"NM_016228"
"HGNC:25662"	"AAGAB"	"alpha- and gamma-adaptin binding protein"	"Approved"		"FLJ11506, p34"	"15q22.33-q23"	"AL136715"	"NM_024666"
"HGNC:19679"	"AAK1"	"AP2 associated kinase 1"	"Approved"		"KIAA1048, DKFZp686K16132"	"2p24.3-p14"	"AB028971"	"NM_014911"
"HGNC:18"	"AAMP"	"angio-associated, migratory cell protein"	"Approved"			"2q"	"AB209790"	"NM_001087"
"HGNC:19"	"AANAT"	"aralkylamine N-acetyltransferase"	"Approved"		"SNAT"	"17q25"	"U40347"	"NM_001088"
"HGNC:20"	"AARS"	"alanyl-tRNA synthetase"	"Approved"			"16q22"	"D32050"	"NM_001605"
"HGNC:21022"	"AARS2"	"alanyl-tRNA synthetase 2, mitochondrial (putative)"	"Approved"	"AARSL"	"KIAA1270, bA444E17.1"	"6p21.1"	"AB033096"	"NM_020745"
"HGNC:28417"	"AARSD1"	"alanyl-tRNA synthetase domain containing 1"	"Approved"		"MGC2744"	"17q21.31"	"BC004172"	"NM_025267"
"HGNC:23993"	"AASDH"	"aminoadipate-semialdehyde dehydrogenase"	"Approved"		"NRPS998, LYS2, ACSF4"	"4q12"	"AF516672"	"NM_181806"
"HGNC:14235"	"AASDHPPT"	"aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"	"Approved"		"LYS5, CGI-80, AASD-PPT"	"11q22"	"AF302110"	"NM_015423"
"HGNC:17366"	"AASS"	"aminoadipate-semialdehyde synthase"	"Approved"		"LORSDH, LKRSDH"	"7q31.3"	"AF229180"	"NM_005763"
"HGNC:19235"	"AATF"	"apoptosis antagonizing transcription factor"	"Approved"		"DED, CHE-1, CHE1"	"17q12"	"AF083208"	"NM_012138"
"HGNC:21"	"AATK"	"apoptosis-associated tyrosine kinase"	"Approved"		"AATYK, KIAA0641, LMTK1, LMR1, AATYK1"	"17q25.3"	"AB014541"	"NM_004920"
"HGNC:40053"	"AATK-AS1"	"AATK antisense RNA 1 (non-protein coding)"	"Approved"			"17q25.3"		
"HGNC:22"	"AAVS1"	"adeno-associated virus integration site 1"	"Approved"		"AAV"	"19q13"	"S51329"	
"HGNC:11"	"AA~withdrawn"	"symbol withdrawn, see TEAD1"	"Symbol Withdrawn"					
"HGNC:23"	"ABAT"	"4-aminobutyrate aminotransferase"	"Approved"		"GABAT"	"16p13.2"	"L32961"	"NM_020686"
"HGNC:24"	"ABC1~withdrawn"	"symbol withdrawn, see ABCA1"	"Symbol Withdrawn"					
"HGNC:25"	"ABC2~withdrawn"	"symbol withdrawn, see ABCA2"	"Symbol Withdrawn"					
"HGNC:26"	"ABC3~withdrawn"	"symbol withdrawn, see ABCA3"	"Symbol Withdrawn"					
"HGNC:28"	"ABC7~withdrawn"	"symbol withdrawn, see ABCB7"	"Symbol Withdrawn"					
"HGNC:27"	"ABC50~withdrawn"	"symbol withdrawn, see ABCF1"	"Symbol Withdrawn"					
"HGNC:29"	"ABCA1"	"ATP-binding cassette, sub-family A (ABC1), member 1"	"Approved"	"ABC1, HDLDT1"	"TGD"	"9q31"	"AJ012376"	"NM_005502"
"HGNC:32"	"ABCA2"	"ATP-binding cassette, sub-family A (ABC1), member 2"	"Approved"	"ABC2"		"9q34"	"U18235"	"NM_001606"
"HGNC:33"	"ABCA3"	"ATP-binding cassette, sub-family A (ABC1), member 3"	"Approved"	"ABC3"	"ABC-C, EST111653, LBM180"	"16p13.3"	"U78735"	"NM_001089"
"HGNC:34"	"ABCA4"	"ATP-binding cassette, sub-family A (ABC1), member 4"	"Approved"	"STGD1, ABCR, RP19, STGD"	"FFM, ARMD2"	"1p22"	"U88667"	"NM_000350"
"HGNC:35"	"ABCA5"	"ATP-binding cassette, sub-family A (ABC1), member 5"	"Approved"		"EST90625"	"17q24.3"	"U66672"	"NM_018672"
"HGNC:36"	"ABCA6"	"ATP-binding cassette, sub-family A (ABC1), member 6"	"Approved"		"EST155051"	"17q21"	"U66680"	"NM_080284"
"HGNC:37"	"ABCA7"	"ATP-binding cassette, sub-family A (ABC1), member 7"	"Approved"		"ABCX"	"19p13.3"	"AF328787"	"NM_019112"
"HGNC:38"	"ABCA8"	"ATP-binding cassette, sub-family A (ABC1), member 8"	"Approved"		"KIAA0822"	"17q24"	"AB020629"	"NM_007168"
"HGNC:39"	"ABCA9"	"ATP-binding cassette, sub-family A (ABC1), member 9"	"Approved"		"EST640918"	"17q24"	"AF423307"	"NM_172386"
"HGNC:39983"	"ABCA9-AS1"	"ABCA9 antisense RNA 1 (non-protein coding)"	"Approved"			"17q24.2"		
"HGNC:30"	"ABCA10"	"ATP-binding cassette, sub-family A (ABC1), member 10"	"Approved"		"EST698739"	"17q24"	"AY247065"	"NM_080282"
"HGNC:31"	"ABCA11P"	"ATP-binding cassette, sub-family A (ABC1), member 11, pseudogene"	"Approved"	"ABCA11"	"EST1133530, FLJ14297"	"4p16.3"	"AK024359"	"NR_002451.2"
"HGNC:14637"	"ABCA12"	"ATP-binding cassette, sub-family A (ABC1), member 12"	"Approved"	"ICR2B"	"DKFZP434G232, LI2"	"2q34"	"AF418105"	"NM_173076"
"HGNC:14638"	"ABCA13"	"ATP-binding cassette, sub-family A (ABC1), member 13"	"Approved"		"FLJ33876, FLJ33951"	"7p12.3"	"AY204751"	"NM_152701"
"HGNC:32972"	"ABCA17P"	"ATP-binding cassette, sub-family A (ABC1), member 17, pseudogene"	"Approved"			"16p13.3"	"DQ266102"	"NR_003574"
"HGNC:40"	"ABCB1"	"ATP-binding cassette, sub-family B (MDR/TAP), member 1"	"Approved"	"PGY1, MDR1, CLCS"	"P-gp, CD243, GP170, ABC20"	"7q21.12"	"M14758"	"NM_000927"
"HGNC:11563"	"ABCB2~withdrawn"	"symbol withdrawn, see TAP1"	"Symbol Withdrawn"					
"HGNC:11564"	"ABCB3~withdrawn"	"symbol withdrawn, see TAP2"	"Symbol Withdrawn"					
"HGNC:45"	"ABCB4"	"ATP-binding cassette, sub-family B (MDR/TAP), member 4"	"Approved"	"PGY3, MDR3"	"MDR2, PFIC-3, GBD1"	"7q21"	"M23234"	"NM_000443"
"HGNC:46"	"ABCB5"	"ATP-binding cassette, sub-family B (MDR/TAP), member 5"	"Approved"		"EST422562, ABCB5beta, ABCB5alpha"	"7p14"	"U66692"	"NM_178559"
"HGNC:47"	"ABCB6"	"ATP-binding cassette, sub-family B (MDR/TAP), member 6"	"Approved"		"EST45597, umat, MTABC3"	"2q36"	"AF070598"	"NM_005689"
"HGNC:48"	"ABCB7"	"ATP-binding cassette, sub-family B (MDR/TAP), member 7"	"Approved"	"ABC7"	"EST140535, Atm1p, ASAT"	"Xq13.3"	"AF038950"	"NM_004299"
"HGNC:49"	"ABCB8"	"ATP-binding cassette, sub-family B (MDR/TAP), member 8"	"Approved"		"EST328128, M-ABC1, MABC1"	"7q35-q36"	"AF047690"	"NM_007188"
"HGNC:50"	"ABCB9"	"ATP-binding cassette, sub-family B (MDR/TAP), member 9"	"Approved"		"EST122234"	"12q24"	"U66676"	"NM_019624"
"HGNC:41"	"ABCB10"	"ATP-binding cassette, sub-family B (MDR/TAP), member 10"	"Approved"		"EST20237, M-ABC2, MTABC2"	"1q32"	"U18237"	"NM_012089"
"HGNC:14114"	"ABCB10P1"	"ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 1"	"Approved"	"ABCB10P"	"M-ABC2, MABC2"	"15q11.2"	"AF218417"	
"HGNC:31128"	"ABCB10P2"	"ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 2"	"Approved"			"15q11.2"		
"HGNC:31129"	"ABCB10P3"	"ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 3"	"Approved"			"15q13.1"		
"HGNC:31130"	"ABCB10P4"	"ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 4"	"Approved"			"15q13.1"		
"HGNC:42"	"ABCB11"	"ATP-binding cassette, sub-family B (MDR/TAP), member 11"	"Approved"	"BSEP, PFIC2"	"ABC16, SPGP, PFIC-2, PGY4"	"2q24"	"AF091582"	"NM_003742"
"HGNC:51"	"ABCC1"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 1"	"Approved"	"MRP, MRP1"	"GS-X"	"16p13.1"	"L05628"	"NM_004996"
"HGNC:53"	"ABCC2"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 2"	"Approved"	"CMOAT"	"DJS, MRP2, cMRP"	"10q24"	"U63970"	"NM_000392"
"HGNC:54"	"ABCC3"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 3"	"Approved"		"MRP3, cMOAT2, EST90757, MLP2, MOAT-D"	"17q21"	"Y17151"	"NM_020038"
"HGNC:55"	"ABCC4"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 4"	"Approved"		"MRP4, EST170205, MOAT-B, MOATB"	"13q31"	"U66682"	"NM_005845"
"HGNC:56"	"ABCC5"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 5"	"Approved"		"MRP5, SMRP, EST277145, MOAT-C"	"3q27"	"AF104942"	"NM_005688"
"HGNC:40055"	"ABCC5-AS1"	"ABCC5 antisense RNA 1 (non-protein coding)"	"Approved"			"3q27.1"		
"HGNC:57"	"ABCC6"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 6"	"Approved"	"ARA, PXE"	"MRP6, EST349056, MLP1, URG7"	"16p13.11"	"AF076622"	
"HGNC:33352"	"ABCC6P1"	"ATP-binding cassette, sub-family C, member 6 pseudogene 1"	"Approved"			"16p12.3"	"BC075833"	
"HGNC:33353"	"ABCC6P2"	"ATP-binding cassette, sub-family C, member 6 pseudogene 2"	"Approved"			"16p13.11"		
"HGNC:58"	"ABCC7~withdrawn"	"symbol withdrawn, see CFTR"	"Symbol Withdrawn"					
"HGNC:59"	"ABCC8"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 8"	"Approved"	"SUR, HRINS"	"HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2"	"11p15.1"	"L78207"	"NM_000352"
"HGNC:60"	"ABCC9"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 9"	"Approved"		"SUR2, CMD1O"	"12p12.1"	"AF061323"	"NM_005691"
"HGNC:52"	"ABCC10"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 10"	"Approved"		"EST182763, MRP7, SIMRP7"	"6p12.3"	"U66684"	"NM_033450"
"HGNC:14639"	"ABCC11"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 11"	"Approved"		"MRP8"	"16q12"	"AF367202"	"NM_032583"
"HGNC:14640"	"ABCC12"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 12"	"Approved"		"MRP9"	"16q12.1"	"AY040220"	"NM_033226"
"HGNC:16022"	"ABCC13"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 13, pseudogene"	"Approved"		"PRED6, C21orf73"	"21q11.2"	"AF418600"	
"HGNC:61"	"ABCD1"	"ATP-binding cassette, sub-family D (ALD), member 1"	"Approved"	"ALD"	"AMN, ALDP, adrenoleukodystrophy"	"Xq28"	"Z21876"	"NM_000033"
"HGNC:62"	"ABCD1P1"	"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 1"	"Approved"			"2p11"	"U90290"	
"HGNC:63"	"ABCD1P2"	"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 2"	"Approved"		"bA453N3.6"	"10p11.1"	"U90288"	
"HGNC:64"	"ABCD1P3"	"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 3"	"Approved"			"16p11.2"	"U90289"	
"HGNC:65"	"ABCD1P4"	"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 4"	"Approved"			"22q11.1"	"U90291"	
"HGNC:42662"	"ABCD1P5"	"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 5"	"Approved"			"2p11.1"		
"HGNC:66"	"ABCD2"	"ATP-binding cassette, sub-family D (ALD), member 2"	"Approved"	"ALDL1"	"ALDR, ALDRP"	"12q11-q12"	"U28150"	"NM_005164"
"HGNC:67"	"ABCD3"	"ATP-binding cassette, sub-family D (ALD), member 3"	"Approved"	"PXMP1"	"PMP70, ZWS2"	"1p22-p21"	"M81182"	"NM_002858"
"HGNC:68"	"ABCD4"	"ATP-binding cassette, sub-family D (ALD), member 4"	"Approved"	"PXMP1L"	"PMP69, P70R, EST352188"	"14q24"	"AF009746"	"NM_005050"
"HGNC:69"	"ABCE1"	"ATP-binding cassette, sub-family E (OABP), member 1"	"Approved"	"RNASEL1, RNASELI, RNS4I"	"RLI, OABP"	"4q31"	"X74987"	"NM_002940"
"HGNC:70"	"ABCF1"	"ATP-binding cassette, sub-family F (GCN20), member 1"	"Approved"	"ABC50"	"EST123147"	"6p21.33"	"AF027302"	
"HGNC:71"	"ABCF2"	"ATP-binding cassette, sub-family F (GCN20), member 2"	"Approved"		"EST133090, ABC28, M-ABC1, HUSSY-18"	"7q36.1"	"AJ005016"	"NM_005692"
"HGNC:72"	"ABCF3"	"ATP-binding cassette, sub-family F (GCN20), member 3"	"Approved"		"EST201864"	"3q25.1-q25.2"	"U66685"	"NM_018358"
"HGNC:73"	"ABCG1"	"ATP-binding cassette, sub-family G (WHITE), member 1"	"Approved"		"ABC8"	"21q22.3"	"U34919"	"NM_207174"
"HGNC:74"	"ABCG2"	"ATP-binding cassette, sub-family G (WHITE), member 2"	"Approved"		"EST157481, MXR, BCRP, ABCP, CD338"	"4q22-q23"	"AF103796"	"NM_004827"
"HGNC:13884"	"ABCG4"	"ATP-binding cassette, sub-family G (WHITE), member 4"	"Approved"		"WHITE2"	"11q23"	"AJ300465"	"NM_022169"
"HGNC:13886"	"ABCG5"	"ATP-binding cassette, sub-family G (WHITE), member 5"	"Approved"		"STSL"	"2p21"	"T93792"	"NM_022436"
"HGNC:13887"	"ABCG8"	"ATP-binding cassette, sub-family G (WHITE), member 8"	"Approved"		"GBD4"	"2p21"	"AF320294"	"NM_022437"
"HGNC:75"	"ABCR~withdrawn"	"symbol withdrawn, see ABCA4"	"Symbol Withdrawn"					
"HGNC:17553"	"ABHD1"	"abhydrolase domain containing 1"	"Approved"		"LABH1, FLJ36128"	"2p23.3"	"AK093447"	"NM_032604"
"HGNC:18717"	"ABHD2"	"abhydrolase domain containing 2"	"Approved"		"LABH2"	"15q26.1"	"X12433"	
"HGNC:18718"	"ABHD3"	"abhydrolase domain containing 3"	"Approved"		"LABH3"	"18q11.1"	"AK024880"	
"HGNC:20154"	"ABHD4"	"abhydrolase domain containing 4"	"Approved"		"FLJ12816"	"14q11.1"	"AK022878"	
"HGNC:21396"	"ABHD5"	"abhydrolase domain containing 5"	"Approved"		"CGI-58, NCIE2"	"3p25.3-p24.3"	"AF007132"	"NM_016006"
"HGNC:21398"	"ABHD6"	"abhydrolase domain containing 6"	"Approved"			"3p21.2"	"AF225418"	"NM_020676"
"HGNC:23759"	"ABHD8"	"abhydrolase domain containing 8"	"Approved"		"FLJ11743, MGC14280, MGC2512"	"19p13.12"	"AK021805"	"NM_024527"
"HGNC:25656"	"ABHD10"	"abhydrolase domain containing 10"	"Approved"		"FLJ11342"	"3q13.2"	"AL713726"	"NM_018394"
"HGNC:16407"	"ABHD11"	"abhydrolase domain containing 11"	"Approved"	"WBSCR21"	"PP1226"	"7q11.23"	"AF217971"	
"HGNC:18289"	"ABHD11-AS1"	"ABHD11 antisense RNA 1 (non-protein coding)"	"Approved"	"WBSCR26"	"NCRNA00035"	"7q11.23"	"BU595969"	"NR_026690"
"HGNC:40012"	"ABHD11-AS2"	"ABHD11 antisense RNA 2 (non-protein coding)"	"Approved"			"7q11.23"		
"HGNC:15868"	"ABHD12"	"abhydrolase domain containing 12"	"Approved"	"C20orf22"	"DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A"	"20p11.21"	"AL117442"	"NM_015600"
"HGNC:19837"	"ABHD12B"	"abhydrolase domain containing 12B"	"Approved"	"C14orf29"	"BEM46L3"	"14q21.3"	"BG698443"	
"HGNC:20293"	"ABHD13"	"abhydrolase domain containing 13"	"Approved"	"C13orf6"	"bA153I24.2, FLJ14906, BEM46L1"	"13q33.2"	"AK027812"	"NM_032859"
"HGNC:24538"	"ABHD14A"	"abhydrolase domain containing 14A"	"Approved"		"DKFZP564O243, DORZ1"	"3p21.1"	"AY358201"	"NM_015407"
"HGNC:38856"	"ABHD14A-ACY1"	"ABHD14A-ACY1 readthrough (non-protein coding)"	"Approved"			"3p21.2"		
"HGNC:28235"	"ABHD14B"	"abhydrolase domain containing 14B"	"Approved"		"MGC15429, CIB"	"3p21.2"	"AK075112"	"NM_032750"
"HGNC:26971"	"ABHD15"	"abhydrolase domain containing 15"	"Approved"			"17q11.2"	"AK056717"	"NM_198147"
"HGNC:13921"	"ABHD16A"	"abhydrolase domain containing 16A"	"Approved"	"BAT5"	"NG26, D6S82E"	"6p21.3"	"AF129756"	
"HGNC:16128"	"ABHD16B"	"abhydrolase domain containing 16B"	"Approved"	"C20orf135"	"dJ591C20.1"	"20q13.33"		
"HGNC:11320"	"ABI1"	"abl-interactor 1"	"Approved"	"SSH3BP1"	"E3B1, ABI-1"	"10p12.1"	"U87166"	"NM_005470"
"HGNC:20035"	"ABI1P1"	"abl-interactor 1 pseudogene 1"	"Approved"	"SSH3BP1P, ABI1P"		"14q22"		
"HGNC:24011"	"ABI2"	"abl-interactor 2"	"Approved"		"ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2"	"2q33"	"AF260261"	"NM_005759"
"HGNC:29859"	"ABI3"	"ABI family, member 3"	"Approved"		"NESH, SSH3BP3"	"17q21.3"	"AB037886"	"NM_016428"
"HGNC:17265"	"ABI3BP"	"ABI family, member 3 (NESH) binding protein"	"Approved"		"NESHBP, DKFZP586L2024, TARSH"	"3q12.2"	"AB056106"	
"HGNC:76"	"ABL1"	"c-abl oncogene 1, non-receptor tyrosine kinase"	"Approved"	"ABL"	"JTK7, c-ABL, p150"	"9q34.1"	"M14752"	"NM_007313"
"HGNC:77"	"ABL2"	"v-abl Abelson murine leukemia viral oncogene homolog 2"	"Approved"	"ABLL"	"ARG"	"1q25.2"	"M14904"	"NM_005158"
"HGNC:78"	"ABLIM1"	"actin binding LIM protein 1"	"Approved"	"LIMAB1, ABLIM"	"abLIM, limatin"	"10q25"	"AF005654"	
"HGNC:19195"	"ABLIM2"	"actin binding LIM protein family, member 2"	"Approved"		"KIAA1808"	"4p16-p15"	"AB058711"	"NM_001130083"
"HGNC:29132"	"ABLIM3"	"actin binding LIM protein family, member 3"	"Approved"		"KIAA0843"	"5q33.1"	"AB020650"	"NM_014945"
"HGNC:79"	"ABO"	"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)"	"Approved"		"A3GALNT, A3GALT1"	"9q34.2"	"AF134415"	"NM_020469"
"HGNC:80"	"ABP1"	"amiloride binding protein 1 (amine oxidase (copper-containing))"	"Approved"		"AOC1, DAO"	"7q34-qter"	"AK092514"	"NM_001091"
"HGNC:81"	"ABR"	"active BCR-related"	"Approved"		"MDB"	"17p13"	"L19704"	
"HGNC:30655"	"ABRA"	"actin-binding Rho activating protein"	"Approved"		"STARS"	"8q23.1"	"AF503617"	"NM_139166"
"HGNC:17369"	"ABT1"	"activator of basal transcription 1"	"Approved"			"6p21.31"	"AB027258"	
"HGNC:39557"	"ABT1P1"	"activator of basal transcription 1 pseudogene 1"	"Approved"			"4q23"		"NG_025142"
"HGNC:18275"	"ABTB1"	"ankyrin repeat and BTB (POZ) domain containing 1"	"Approved"		"BPOZ, EF1ABP, Btb3"	"3q21"	"AB053324"	"NM_172027"
"HGNC:23842"	"ABTB2"	"ankyrin repeat and BTB (POZ) domain containing 2"	"Approved"		"DKFZP586C1619"	"11p13"	"AK056863"	"NM_145804"
"HGNC:82"	"ACAA1"	"acetyl-CoA acyltransferase 1"	"Approved"			"3p23-p22"	"X14813"	"NM_001607"
"HGNC:83"	"ACAA2"	"acetyl-CoA acyltransferase 2"	"Approved"		"DSAEC"	"18q21"	"D16294"	"NM_006111"
"HGNC:84"	"ACACA"	"acetyl-CoA carboxylase alpha"	"Approved"	"ACAC, ACC"	"ACC1"	"17q21"	"U19822"	"NM_198836"
"HGNC:85"	"ACACB"	"acetyl-CoA carboxylase beta"	"Approved"		"HACC275, ACC2, ACCB"	"12q24.1"	"U89344"	"NM_001093"
"HGNC:87"	"ACAD8"	"acyl-CoA dehydrogenase family, member 8"	"Approved"			"11q25"	"AF126245"	"NM_014384"
"HGNC:21497"	"ACAD9"	"acyl-CoA dehydrogenase family, member 9"	"Approved"		"NPD002, MGC14452"	"3q21.3"	"AF078854"	"NM_014049"
"HGNC:21597"	"ACAD10"	"acyl-CoA dehydrogenase family, member 10"	"Approved"		"MGC5601"	"12q24.12"	"AY323912"	"NM_025247"
"HGNC:30211"	"ACAD11"	"acyl-CoA dehydrogenase family, member 11"	"Approved"		"FLJ12592"	"3q22.1"	"BC019607"	"NM_032169"
"HGNC:88"	"ACADL"	"acyl-CoA dehydrogenase, long chain"	"Approved"		"LCAD, ACAD4"	"2q34-q35"	"M74096"	"NM_001608"
"HGNC:89"	"ACADM"	"acyl-CoA dehydrogenase, C-4 to C-12 straight chain"	"Approved"		"MCAD, MCADH, ACAD1"	"1p31"	"M16827"	
"HGNC:90"	"ACADS"	"acyl-CoA dehydrogenase, C-2 to C-3 short chain"	"Approved"		"SCAD, ACAD3"	"12q24.31"	"M26393"	"NM_000017"
"HGNC:91"	"ACADSB"	"acyl-CoA dehydrogenase, short/branched chain"	"Approved"		"SBCAD, ACAD7"	"10q25-q26"	"U12778"	"NM_001609"
"HGNC:92"	"ACADVL"	"acyl-CoA dehydrogenase, very long chain"	"Approved"		"VLCAD, LCACD, ACAD6"	"17p13.1"	"BC012912"	"NM_000018"
"HGNC:86"	"ACAD~withdrawn"	"entry withdrawn"	"Entry Withdrawn"					
"HGNC:319"	"ACAN"	"aggrecan"	"Approved"	"MSK16, CSPG1, AGC1"	"CSPGCP"	"15q26.1"	"M55172"	"NM_001135"
"HGNC:16467"	"ACAP1"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"	"Approved"	"CENTB1"	"KIAA0050"	"17p13.1"	"D30758"	"NM_014716"
"HGNC:16469"	"ACAP2"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"	"Approved"	"CENTB2"	"KIAA0041, CNT-B2"	"3q29"		"NM_012287"
"HGNC:41426"	"ACAP2-IT1"	"ACAP2 intronic transcript 1 (non-protein coding)"	"Approved"			"3q29"		
"HGNC:16754"	"ACAP3"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"	"Approved"	"CENTB5"	"KIAA1716"	"1p36"	"AF411981"	"NM_030649"
"HGNC:93"	"ACAT1"	"acetyl-CoA acetyltransferase 1"	"Approved"	"ACAT"	"THIL"	"11q22.3"	"D90228"	"NM_000019"
"HGNC:94"	"ACAT2"	"acetyl-CoA acetyltransferase 2"	"Approved"			"6q25.3-q26"	"AF356877"	"NM_005891"
"HGNC:15453"	"ACBD3"	"acyl-CoA binding domain containing 3"	"Approved"	"GOLPH1, GOCAP1"	"GCP60, PAP7"	"1q41"	"AB043587"	"NM_022735"
